ID,Mã Tài Sản (Asset Tag),Mã SpeedMaint,Tên Thiết Bị Y Tế,Model,Số Serial (S/N),Khoa / Phòng Ban,Mã Khoa,Nhóm Chuyên Khoa,Mức Rủi Ro (NĐ98),Hãng Sản Xuất,Xuất Xứ,Năm Sản Xuất,Trạng Thái Vận Hành,Ngày Đưa Vào SD,Ngày Kiểm Định,Hạn Kiểm Định,Số Giấy Chứng Nhận,Số Tem KĐ,Ghi Chú
510,BVQ7-TTB-00510,BM/BVQ7/00510,Cân sức khỏe y tế,N/A,GEN-5113781450929909686,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
511,BVQ7-TTB-00511,BM/BVQ7/00511,Cân sức khỏe y tế,Điện tử (BSM370),S9823000760,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,Inbody,Giấy chứng nhận hiệu chuẩn,2026,IN_SERVICE,,2026-01-23,2027-01-31,056-398/01.26,25A 214167,
512,BVQ7-TTB-00512,BM/BVQ7/00512,Cân sức khỏe y tế,N/A,GEN-8787287750222717965,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
513,BVQ7-TTB-00513,BM/BVQ7/00513,Huyết áp kế lò xo / Áp kế y tế,Lò xo,P014628,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,Kaipu,,2026,IN_SERVICE,,2026-01-30,2027-01-31,056-994/01.26P,26A 101350,
514,BVQ7-TTB-00514,BM/BVQ7/00514,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-7486569630724715703,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
515,BVQ7-TTB-00515,BM/BVQ7/00515,Huyết áp kế lò xo / Áp kế y tế,Lò xo,P014563,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,Kaipu,,2026,IN_SERVICE,,2026-01-30,2027-01-31,056-995/01.26P,26A 101359,
516,BVQ7-TTB-00516,BM/BVQ7/00516,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-3067552457807073858,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
517,BVQ7-TTB-00517,BM/BVQ7/00517,Huyết áp kế lò xo / Áp kế y tế,Lò xo,P014626,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,Kaipu,,2026,IN_SERVICE,,2026-01-30,2027-01-31,056-996/01.26P,26A 101366,
518,BVQ7-TTB-00518,BM/BVQ7/00518,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-8239201088213213487,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
519,BVQ7-TTB-00519,BM/BVQ7/00519,Huyết áp kế lò xo / Áp kế y tế,Lò xo,P014473,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,Kaipu,,2026,IN_SERVICE,,2026-01-30,2027-01-31,056-997/01.26P,26A 101367,
520,BVQ7-TTB-00520,BM/BVQ7/00520,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-2569202017946611174,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
521,BVQ7-TTB-00521,BM/BVQ7/00521,Huyết áp kế lò xo / Áp kế y tế,Lò xo,P014472,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,Kaipu,Giấy chứng nhận kiểm định,2026,IN_SERVICE,,2026-01-30,2027-01-31,056-998/01.26P,26A 101369,
522,BVQ7-TTB-00522,BM/BVQ7/00522,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-5327090400837178834,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
523,BVQ7-TTB-00523,BM/BVQ7/00523,Huyết áp kế lò xo / Áp kế y tế,Lò xo,P014596,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,Kaipu,Giấy chứng nhận kiểm định,2026,IN_SERVICE,,2026-01-30,2027-01-31,056-999/01.26P,26A 101368,
524,BVQ7-TTB-00524,BM/BVQ7/00524,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-6583046210177968569,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
526,BVQ7-TTB-00526,BM/BVQ7/00526,Scan NT,N/A,GEN-2679784804528076733,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
527,BVQ7-TTB-00527,BM/BVQ7/00527,HỆ THỐNG ĐƯỜNG ỐNG DẪN KHÍ ÔXY Y TẾ,N/A,GEN-1473137041882936040,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
528,BVQ7-TTB-00528,BM/BVQ7/00528,Máy hấp tiệt trùng,N/A,GEN-4407657389589669343,Trung Tâm Tiệt Trùng & KSNK (CSSD),CSSD,Thiết bị tiệt trùng & khử khuẩn,Mức A,,,,IN_SERVICE,,,,,,
529,BVQ7-TTB-00529,BM/BVQ7/00529,Máy ly tâm phòng xét nghiệm,N/A,GEN-1878316304062358078,Khoa Xét Nghiệm Y Học,XN,Thiết bị xét nghiệm & lab,Mức B,,,,IN_SERVICE,,,,,,
530,BVQ7-TTB-00530,BM/BVQ7/00530,Nhiệt ẩm kế tự ghi,N/A,GEN-1043321974737648758,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
531,BVQ7-TTB-00531,BM/BVQ7/00531,Nhiệt ẩm kế tự ghi,N/A,GEN-1141779008755598254,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
532,BVQ7-TTB-00532,BM/BVQ7/00532,Cân dĩa,N/A,GEN-116329173660622031,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
533,BVQ7-TTB-00533,BM/BVQ7/00533,Máy thở chuyên dụng,TV - 100,GEN-5651344254239119310,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Máy thở & Hô hấp,Mức D,,,,IN_SERVICE,,,,,,
534,BVQ7-TTB-00534,BM/BVQ7/00534,Nhiệt ẩm kế tự ghi,N/A,GEN-9041595772668333740,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
535,BVQ7-TTB-00535,BM/BVQ7/00535,Nhiệt kế y tế,N/A,GEN-3734653977689925902,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
536,BVQ7-TTB-00536,BM/BVQ7/00536,Nhiệt ẩm kế tự ghi,N/A,GEN-693719991928115115,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
537,BVQ7-TTB-00537,BM/BVQ7/00537,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-714082708300971129,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
538,BVQ7-TTB-00538,BM/BVQ7/00538,Huyết áp điện tử,HEM-8712,GEN-934459235284353532,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
539,BVQ7-TTB-00539,BM/BVQ7/00539,Cân sức khỏe y tế,N/A,GEN-4677352651918990162,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
540,BVQ7-TTB-00540,BM/BVQ7/00540,Máy phá rung tim,TEC-5621,GEN-2847311069869255121,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Cấp cứu & Máy phá rung tim,Mức D,,,,IN_SERVICE,,,,,,
541,BVQ7-TTB-00541,BM/BVQ7/00541,Nhiệt kế điện tử y tế,N/A,GEN-9054236550935816868,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
542,BVQ7-TTB-00542,BM/BVQ7/00542,Máy thận nhân tạo,4008 S,GEN-3736295257215238355,Đơn Vị Thận Nhân Tạo / Lọc Máu,TNT,Thận nhân tạo & Lọc máu,Mức C,,,,IN_SERVICE,,,,,,
543,BVQ7-TTB-00543,BM/BVQ7/00543,Nhiệt ẩm kế tự ghi,N/A,GEN-1962151775894222951,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
544,BVQ7-TTB-00544,BM/BVQ7/00544,Nhiệt ẩm kế tự ghi,N/A,GEN-578054618444938433,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
545,BVQ7-TTB-00545,BM/BVQ7/00545,Huyết áp lò xo,N/A,GEN-743015807207626745,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
546,BVQ7-TTB-00546,BM/BVQ7/00546,Dao mổ điện cao tần,Zeus-150,GEN-8253610385832042941,Khoa Phẫu Thuật - GMHS / Phòng Mổ,GMHS,Phẫu thuật & Dao mổ điện,Mức C,,,,IN_SERVICE,,,,,,
547,BVQ7-TTB-00547,BM/BVQ7/00547,BBNT khối lượng CV,N/A,GEN-7459094195415490747,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
548,BVQ7-TTB-00548,BM/BVQ7/00548,BBNT khối lượng CV,N/A,GEN-1279222685560018455,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
549,BVQ7-TTB-00549,BM/BVQ7/00549,BBNT khối lượng CV,N/A,GEN-7081527267621318500,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
550,BVQ7-TTB-00550,BM/BVQ7/00550,Sanitas Clean,N/A,GEN-3830313992844903010,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
551,BVQ7-TTB-00551,BM/BVQ7/00551,Máy cắt đốt cao tần VIO 300S,VIO 300S,11557011,Khoa Phẫu Thuật - GMHS / Phòng Mổ,GMHS,Thiết bị y tế khác,Mức A,NaN,Giấy chứng nhận kiểm định an toàn và tính năng kỹ thuật,,IN_SERVICE,,2026-02-07,2027-02-06,0086.02.26Y,00445,
552,BVQ7-TTB-00552,BM/BVQ7/00552,HUYẾT ÁP KỂ LÒ XO,Lò xo,Nơi sản xuất:,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,Year :,,,IN_SERVICE,,,2027-01-31,056-002/01.26H,26A 101348,
553,BVQ7-TTB-00553,BM/BVQ7/00553,Huyết áp kế lò xo / Áp kế y tế,YAMASU,996676,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,NaN,Giấy chứng nhận kiểm định,,IN_SERVICE,,2026-01-30,2027-01-31,056-003/01.26H,26A 101401,
554,BVQ7-TTB-00554,BM/BVQ7/00554,Máy ly tâm phòng xét nghiệm,Hermle Z36HK,58B2000001,Khoa Xét Nghiệm Y Học,XN,Thiết bị xét nghiệm & lab,Mức B,NaN,Giấy chứng nhận hiệu chuẩn,,IN_SERVICE,,2026-03-27,2027-03-27,056-1671/03.26,25A 201142,
555,BVQ7-TTB-00555,BM/BVQ7/00555,Nhiệt ẩm kế tự ghi,UHADO-16,A0C1038984C5,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,NaN,Giấy chứng nhận hiệu chuẩn,,IN_SERVICE,,2026-03-27,2027-03-27,056-1676/01.26,25A 201145,
556,BVQ7-TTB-00556,BM/BVQ7/00556,Nhiệt ẩm kế tự ghi,RC-4HC,EF7222103694,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,NaN,Giấy chứng nhận hiệu chuẩn,,IN_SERVICE,,2016-01-23,2027-01-31,056-383/01.26,25A 213422,
557,BVQ7-TTB-00557,BM/BVQ7/00557,Nhiệt kế điện tử y tế,UTRED30-WIFI,(1149),Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,Logtag,,,IN_SERVICE,,2026-02-27,,056-392/02.26,25A 201149,
558,BVQ7-TTB-00558,BM/BVQ7/00558,Máy hấp tiệt trùng Person Medical,Person Medical VSC-60L,S-60224104,Trung Tâm Tiệt Trùng & KSNK (CSSD),CSSD,Thiết bị tiệt trùng & khử khuẩn,Mức A,NaN,Giấy chứng nhận hiệu chuẩn,,IN_SERVICE,,2026-01-23,2027-01-31,056-395/01.26,25A 214157,
559,BVQ7-TTB-00559,BM/BVQ7/00559,Huyết áp kế lò xo / Áp kế y tế,Lò xo,Nơi sản xuất: Kaipu,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,Year :,,,IN_SERVICE,,2026-01-30,,056-996/01.26P,26A 101366,
560,BVQ7-TTB-00560,BM/BVQ7/00560,Đợt tháng 2.26,Astral 150,GEN-6846164698196059331,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
561,BVQ7-TTB-00561,BM/BVQ7/00561,Q726010022B,N/A,GEN-7332361540005971240,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
562,BVQ7-TTB-00562,BM/BVQ7/00562,Q726010022C,N/A,GEN-1787417238274506494,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
563,BVQ7-TTB-00563,BM/BVQ7/00563,Q726010022D,N/A,GEN-6919051703225623744,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
564,BVQ7-TTB-00564,BM/BVQ7/00564,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-4568944557803667731,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
565,BVQ7-TTB-00565,BM/BVQ7/00565,Huyết áp kế lò xo / Áp kế y tế,HEM-8712,GEN-270209390832789555,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
566,BVQ7-TTB-00566,BM/BVQ7/00566,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-4881593718814920430,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
567,BVQ7-TTB-00567,BM/BVQ7/00567,Nhiệt kế điện tử y tế,N/A,GEN-4481588826689263211,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
568,BVQ7-TTB-00568,BM/BVQ7/00568,Nhiệt ẩm kế tự ghi,N/A,GEN-1063359334071752673,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
569,BVQ7-TTB-00569,BM/BVQ7/00569,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-508393050994607146,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
570,BVQ7-TTB-00570,BM/BVQ7/00570,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-5025945468227650868,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
571,BVQ7-TTB-00571,BM/BVQ7/00571,Nhiệt ẩm kế tự ghi,N/A,GEN-7215169796852880905,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
572,BVQ7-TTB-00572,BM/BVQ7/00572,Cân sức khỏe y tế,N/A,GEN-1725482394641548400,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
573,BVQ7-TTB-00573,BM/BVQ7/00573,Cân sức khỏe y tế,N/A,GEN-2197782813414202761,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
574,BVQ7-TTB-00574,BM/BVQ7/00574,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-6502389565969581720,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
575,BVQ7-TTB-00575,BM/BVQ7/00575,Huyết áp kế lò xo / Áp kế y tế,HEM-8712,GEN-1903360150857347715,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
576,BVQ7-TTB-00576,BM/BVQ7/00576,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-5235953745711577884,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
577,BVQ7-TTB-00577,BM/BVQ7/00577,Nhiệt ẩm kế tự ghi,N/A,GEN-3137426859950774589,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
578,BVQ7-TTB-00578,BM/BVQ7/00578,Nhiệt ẩm kế tự ghi,N/A,GEN-1439434222551748752,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
579,BVQ7-TTB-00579,BM/BVQ7/00579,Nồi hấp tiệt trùng,N/A,GEN-7168083492844542228,Trung Tâm Tiệt Trùng & KSNK (CSSD),CSSD,Thiết bị tiệt trùng & khử khuẩn,Mức B,,,,IN_SERVICE,,,,,,
580,BVQ7-TTB-00580,BM/BVQ7/00580,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-8282038041666030208,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
581,BVQ7-TTB-00581,BM/BVQ7/00581,Huyết áp kế lò xo / Áp kế y tế,HEM-7143T1,GEN-3300436597046064021,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
582,BVQ7-TTB-00582,BM/BVQ7/00582,BBNT khối lượng CV,N/A,GEN-7482932145019781900,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
583,BVQ7-TTB-00583,BM/BVQ7/00583,Máy thận nhân tạo,4008S,GEN-6291805568548063937,Đơn Vị Thận Nhân Tạo / Lọc Máu,TNT,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
585,BVQ7-TTB-00585,BM/BVQ7/00585,BBNT khối lượng công việc,N/A,GEN-5862435252398170872,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
586,BVQ7-TTB-00586,BM/BVQ7/00586,Máy thở chuyên dụng,TV-100,GEN-8464493862990022840,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Thiết bị y tế khác,Mức D,,,,IN_SERVICE,,,,,,
588,BVQ7-TTB-00588,BM/BVQ7/00588,Hóa đơn,N/A,GEN-1989552962832955176,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
589,BVQ7-TTB-00589,BM/BVQ7/00589,MỤC 11. Giấy kiểm đinh,N/A,GEN-52797392134469377,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
590,BVQ7-TTB-00590,BM/BVQ7/00590,MỤC 12. Giấy hiệu chuẩn,N/A,GEN-8162287379134932981,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
591,BVQ7-TTB-00591,BM/BVQ7/00591,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-1839179257830103418,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
592,BVQ7-TTB-00592,BM/BVQ7/00592,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-7984917080990681457,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
593,BVQ7-TTB-00593,BM/BVQ7/00593,Máy phá rung tim,TEC-5631,GEN-2422162143958223687,Khoa Cấp Cứu - Hồi Sức Tích Cực,ICU,Thiết bị y tế khác,Mức D,,,,IN_SERVICE,,,,,,
594,BVQ7-TTB-00594,BM/BVQ7/00594,Dao mổ điện cao tần,Zeus-150,GEN-6342824417944780620,Khoa Phẫu Thuật - GMHS / Phòng Mổ,GMHS,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
595,BVQ7-TTB-00595,BM/BVQ7/00595,Nồi hấp tiệt trùng,N/A,GEN-5938196483650271077,Trung Tâm Tiệt Trùng & KSNK (CSSD),CSSD,Thiết bị y tế khác,Mức B,,,,IN_SERVICE,,,,,,
596,BVQ7-TTB-00596,BM/BVQ7/00596,MỤC 6. Giấy hiệu chuẩn,N/A,GEN-5891954181915027653,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
597,BVQ7-TTB-00597,BM/BVQ7/00597,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-1043405834248342633,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
598,BVQ7-TTB-00598,BM/BVQ7/00598,Dao mổ điện cao tần,N/A,GEN-293414889914941629,Khoa Phẫu Thuật - GMHS / Phòng Mổ,GMHS,Thiết bị y tế khác,Mức C,,,,IN_SERVICE,,,,,,
600,BVQ7-TTB-00600,BM/BVQ7/00600,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-6050989815923111825,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
601,BVQ7-TTB-00601,BM/BVQ7/00601,Cân sức khỏe y tế,N/A,GEN-8198730904759785348,Khoa Khám Bệnh Đa Khoa,KKB,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
602,BVQ7-TTB-00602,BM/BVQ7/00602,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-4603303861740486428,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
603,BVQ7-TTB-00603,BM/BVQ7/00603,Tủ lạnh bảo quản mẫu y tế,N/A,GEN-2702531125188918780,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
604,BVQ7-TTB-00604,BM/BVQ7/00604,Máy ly tâm phòng xét nghiệm,N/A,GEN-2956544084551325016,Khoa Xét Nghiệm Y Học,XN,Thiết bị xét nghiệm & lab,Mức B,,,,IN_SERVICE,,,,,,
605,BVQ7-TTB-00605,BM/BVQ7/00605,Tủ an toàn sinh học,N/A,GEN-7400925689123012476,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
606,BVQ7-TTB-00606,BM/BVQ7/00606,Máy thận nhân tạo,4008 S,GEN-4840959879821684592,Đơn Vị Thận Nhân Tạo / Lọc Máu,TNT,Thận nhân tạo & Lọc máu,Mức C,,,,IN_SERVICE,,,,,,
607,BVQ7-TTB-00607,BM/BVQ7/00607,Máy đo suất liều bức xạ cầm tay,N/A,GEN-2657057501877360194,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
608,BVQ7-TTB-00608,BM/BVQ7/00608,GP,N/A,GEN-1062430801688876812,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
609,BVQ7-TTB-00609,BM/BVQ7/00609,Máy đo liều bức xạ cầm tay (chứng chỉ hiệu chuẩn kèm theo),N/A,GEN-8878109982965219009,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
610,BVQ7-TTB-00610,BM/BVQ7/00610,Máy đo liều bức xạ cầm tay (chứng chỉ hiệu chuẩn kèm theo),N/A,GEN-7423905898417001383,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
611,BVQ7-TTB-00611,BM/BVQ7/00611,Nhiệt kế điện tử y tế,N/A,GEN-148192662569144082,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
612,BVQ7-TTB-00612,BM/BVQ7/00612,Nhiệt ẩm kế tự ghi,N/A,GEN-6532609201161577315,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
613,BVQ7-TTB-00613,BM/BVQ7/00613,Nhiệt ẩm kế tự ghi,N/A,GEN-5477991587075618410,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
614,BVQ7-TTB-00614,BM/BVQ7/00614,Tủ lạnh bảo quản mẫu y tế,N/A,GEN-2705857228129846943,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
615,BVQ7-TTB-00615,BM/BVQ7/00615,Tủ lạnh bảo quản mẫu y tế,N/A,GEN-6709003703906986316,Kho Lưu Trữ Thiết Bị / Chờ Cấp Phát,KHO,Thiết bị y tế khác,Mức A,,,,IN_SERVICE,,,,,,
616,BVQ7-TTB-00616,BM/BVQ7/00616,Nhiệt ẩm kế tự ghi,N/A,GEN-5467476220476926039,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
617,BVQ7-TTB-00617,BM/BVQ7/00617,Huyết áp kế lò xo / Áp kế y tế,N/A,GEN-1857540833820617827,Khoa Khám Bệnh Đa Khoa,KKB,Dụng cụ đo lường y tế,Mức A,,,,IN_SERVICE,,,,,,
618,BVQ7-TTB-00618,BM/BVQ7/00618,Máy ly tâm phòng xét nghiệm,N/A,GEN-1154029504977188507,Khoa Xét Nghiệm Y Học,XN,Thiết bị xét nghiệm & lab,Mức B,,,,IN_SERVICE,,,,,,
